#{"t_start": 1774279009.95746, "env_id": "None"}
r,l,t
-4.536661,150,1391.995848
-3.962468,150,1395.779176
-4.190537,150,1399.433423
-3.0406,150,1403.491837
-3.25864,150,1407.298996
6.976125,115,1410.500658
-5.394109,150,1414.098681
-5.066339,150,1420.40417
6.591441,147,1423.990664
-6.06269,150,1427.682801
-2.316813,150,1431.467561
-4.138391,150,1435.548705
-5.343889,150,1439.594344
-5.049247,150,1443.513601
-6.427003,150,1447.35502
8.653722,146,1451.12991
-4.016149,150,1454.896896
-3.898041,150,1458.47778
-5.631144,150,1461.90559
-3.277575,150,1465.584929
-7.21512,150,1469.235405
8.548779,128,1475.24263
9.84424,28,1475.962638
-4.307353,150,1479.804258
-3.825369,150,1483.428732
9.970547,68,1485.045572
-3.941561,150,1488.570972
8.015957,113,1490.857218
-4.138073,150,1494.385049
0.923983,135,1497.677354
7.619354,127,1500.876549
-3.261204,150,1504.32759
-5.429471,150,1507.983083
-14.577616,150,1511.266826
6.094805,137,1514.391146
-3.277083,150,1518.210426
-5.08589,150,1524.103765
8.504257,128,1526.771321
9.106816,66,1528.10616
-8.75121,150,1530.775707
-3.764023,150,1533.584198
9.140085,43,1534.451338
-5.007517,150,1538.355641
-4.508471,150,1542.064692
-4.174067,150,1545.540323
6.014724,113,1548.541665
-3.756656,150,1552.107395
-3.651618,150,1556.066453
-4.574471,150,1560.037799
-5.192968,150,1563.82448
-5.290541,150,1567.523324
6.641801,131,1570.742844
-7.445214,150,1577.017527
-4.985644,150,1580.823353
-2.566831,150,1584.44383
8.773777,57,1585.942429
-7.464955,150,1589.82846
-4.063817,150,1593.649122
-5.087954,150,1597.420796
-5.343909,150,1601.191699
6.692468,102,1603.864189
8.613364,87,1606.129243
-4.340775,150,1610.007603
8.137837,92,1612.311197
-1.772639,150,1616.138462
-7.494585,150,1619.905633
-3.051823,150,1623.737266
8.300464,53,1625.058592
6.561113,101,1629.958776
-4.393611,150,1634.110275
-5.529644,150,1638.108022
-7.247551,150,1641.661127
9.538103,54,1643.084675
-5.69112,150,1646.949465
4.405913,141,1650.634607
5.840732,117,1653.630635
-5.186481,150,1657.488644
8.131662,141,1661.067636
9.899678,11,1661.411024
-5.090137,150,1665.674972
-6.440447,150,1669.748754
11.09619,41,1670.820865
7.433481,134,1674.460909
-5.008127,150,1678.118396
-4.253422,150,1684.413527
-5.558452,150,1688.282679
7.891018,148,1691.932324
-5.386011,150,1695.721738
-5.568676,150,1699.857178
9.057873,74,1701.866973
-2.175637,150,1705.536509
-5.145251,150,1709.109984
-5.486657,150,1712.842018
-5.810563,150,1716.54332
8.386957,79,1718.241912
8.496979,82,1720.393254
-5.115685,150,1724.264846
-4.588847,150,1728.176511
-5.949065,150,1732.165033
-6.463087,150,1735.803997
-3.412761,150,1741.857335
-5.845312,150,1745.515918
-4.518988,150,1749.626028
