episode,timestep,level,success,rolling_success_rate
338,29601,2,1,0.5
339,29701,2,0,0.45
340,29796,2,1,0.5
341,29922,2,0,0.45
342,30000,2,1,0.5
343,30100,2,0,0.5
344,30218,2,0,0.45
345,30323,2,0,0.4
346,30439,2,0,0.4
347,30554,2,0,0.4
348,30657,2,0,0.35
349,30673,1,1,1.0
350,30737,1,1,1.0
351,30804,1,1,1.0
352,30839,1,1,1.0
353,30939,1,0,0.8
354,30986,1,1,0.8333
355,31035,1,1,0.8571
356,31117,1,1,0.875
357,31158,1,1,0.8889
358,31173,1,1,0.9
359,31208,1,1,0.9091
360,31239,1,1,0.9167
361,31258,1,1,0.9231
362,31358,1,0,0.8571
363,31395,1,1,0.8667
364,31405,1,1,0.875
365,31430,1,1,0.8824
366,31530,1,0,0.8333
367,31630,1,0,0.7895
368,31656,1,1,0.8
369,31764,2,0,0.0
370,31867,2,0,0.0
371,31989,2,0,0.0
372,32038,2,1,0.25
373,32146,2,0,0.2
374,32229,2,1,0.3333
375,32361,2,1,0.4286
376,32468,2,0,0.375
377,32545,2,1,0.4444
378,32679,2,0,0.4
379,32794,2,1,0.4545
380,32861,2,1,0.5
381,32993,2,0,0.4615
382,33074,2,1,0.5
383,33094,2,1,0.5333
384,33157,2,1,0.5625
385,33257,2,0,0.5294
386,33357,2,0,0.5
387,33453,2,1,0.5263
388,33494,2,1,0.55
389,33563,2,1,0.6
390,33614,2,1,0.65
391,33722,2,0,0.65
392,33792,2,1,0.65
393,33892,2,0,0.65
394,33988,2,1,0.65
395,34088,2,0,0.6
396,34175,2,1,0.65
397,34296,2,0,0.6
398,34412,2,0,0.6
399,34463,2,1,0.6
400,34563,2,0,0.55
401,34688,2,0,0.55
402,34771,2,1,0.55
403,34870,2,1,0.55
404,34941,2,1,0.55
405,35016,2,1,0.6
406,35121,2,0,0.6
407,35221,2,0,0.55
408,35294,2,1,0.55
409,35368,2,1,0.55
410,35468,2,0,0.5
411,35564,2,1,0.55
412,35664,2,0,0.5
413,35788,2,0,0.5
414,35852,2,1,0.5
415,35941,2,1,0.55
416,35968,2,1,0.55
417,36030,2,1,0.6
418,36115,2,1,0.65
419,36228,2,0,0.6
420,36336,2,0,0.6
421,36436,2,0,0.6
422,36492,2,1,0.6
423,36603,2,1,0.6
424,36649,2,1,0.6
425,36761,2,1,0.6
426,36836,2,1,0.65
427,36928,2,1,0.7
428,37075,3,1,1.0
429,37182,3,1,1.0
430,37289,3,1,1.0
431,37412,3,1,1.0
432,37621,3,0,0.8
433,37700,3,1,0.8333
434,37807,3,1,0.8571
435,37986,3,0,0.75
436,38087,3,1,0.7778
437,38246,3,1,0.8
438,38306,3,1,0.8182
439,38453,3,1,0.8333
440,38527,3,1,0.8462
441,38700,3,1,0.8571
442,38876,3,0,0.8
443,38962,3,1,0.8125
444,39167,3,0,0.7647
445,39263,3,1,0.7778
446,39374,3,0,0.7368
447,39450,3,1,0.75
448,39680,4,0,0.0
449,39931,4,0,0.0
450,40006,4,1,0.3333
451,40187,4,1,0.5
452,40392,4,1,0.6
453,40591,4,0,0.5
454,40737,4,1,0.5714
455,41003,4,0,0.5
456,41093,4,1,0.5556
457,41303,4,0,0.5
458,41457,4,1,0.5455
459,41690,4,0,0.5
460,41919,4,1,0.5385
461,42042,4,1,0.5714
462,42235,4,0,0.5333
463,42410,4,1,0.5625
464,42630,4,0,0.5294
465,42740,4,1,0.5556
466,42951,4,1,0.5789
467,43092,4,1,0.6
468,43211,4,1,0.65
469,43397,4,0,0.65
470,43514,4,1,0.65
471,43641,4,1,0.65
472,43754,4,1,0.65
473,43979,4,1,0.7
474,44113,4,1,0.7
475,44231,4,1,0.75
476,44346,4,1,0.75
477,44556,4,0,0.75
478,44766,4,1,0.75
479,44913,4,1,0.8
480,45092,4,1,0.8
481,45193,4,1,0.8
482,45366,4,1,0.85
483,45458,4,1,0.85
484,45571,4,1,0.9
485,45810,4,0,0.85
486,46001,4,1,0.85
487,46142,4,1,0.85
488,46263,4,1,0.85
489,46432,4,1,0.9
490,46600,4,1,0.9
491,46679,4,1,0.9
492,46802,4,1,0.9
493,46916,4,1,0.9
494,47049,4,1,0.9
495,47236,4,1,0.9
496,47363,4,1,0.9
497,47470,4,1,0.95
498,47612,4,1,0.95
499,47745,4,1,0.95
500,47849,4,1,0.95
501,47927,4,1,0.95
502,48031,4,1,0.95
503,48099,4,1,0.95
504,48273,4,1,0.95
505,48405,4,1,1.0
506,48507,4,1,1.0
507,48579,4,1,1.0
508,48666,4,1,1.0
509,48865,4,1,1.0
510,48968,4,1,1.0
511,49065,4,1,1.0
