#{"t_start": 1774417216.9971836, "env_id": "None"}
r,l,t
10.573103,65,2364.847982
10.628322,42,2366.912345
10.748788,52,2369.630529
8.896611,75,2373.340633
10.604859,60,2376.402788
10.08829,71,2380.09341
10.17715,59,2382.874299
10.608296,44,2385.28315
9.912579,56,2388.088216
9.907684,65,2391.405451
9.553171,82,2395.474628
8.680405,104,2400.591044
1.99927,94,2407.350123
7.955164,91,2411.556797
10.125744,64,2414.716236
10.291689,76,2418.57134
8.04959,55,2421.331726
9.547386,123,2427.150212
10.562525,54,2429.790956
10.232863,66,2432.860063
8.708308,83,2436.448731
9.925051,45,2438.492828
10.625215,48,2440.86826
10.040043,58,2443.774659
10.343602,61,2446.840653
9.778837,46,2449.103509
11.099262,56,2451.787962
9.65137,91,2456.376076
9.927177,41,2458.449952
10.147774,65,2461.459278
9.20338,84,2465.734157
10.289641,75,2469.417625
8.647125,116,2474.804625
10.169017,71,2478.296806
9.360841,63,2481.571802
9.022858,62,2484.505865
9.691717,70,2487.987892
9.140216,97,2492.688107
7.165414,130,2498.74309
8.471124,89,2505.469882
10.425976,71,2508.867873
8.147498,91,2513.497649
10.527478,56,2516.490294
9.973447,58,2519.356492
10.162476,67,2522.649026
9.529431,50,2525.05821
9.075882,81,2528.935529
10.077649,74,2532.671537
9.891147,70,2535.723532
10.192932,74,2539.351345
10.370424,43,2541.45077
10.257056,27,2542.720301
9.305638,82,2546.664446
9.284297,72,2550.285094
10.313048,46,2552.518368
9.802453,85,2556.375729
6.000828,130,2562.710255
10.108426,60,2565.515419
10.202716,34,2567.139324
10.477794,38,2568.876103
10.865178,41,2570.744628
10.210636,57,2573.558682
8.505428,90,2577.919715
10.127526,40,2579.775659
9.481415,66,2583.086913
10.108168,75,2586.536742
10.407687,48,2588.874417
10.69647,35,2590.678722
8.544284,110,2595.956978
10.370031,56,2598.790832
9.872077,65,2601.919168
7.638296,92,2608.844346
10.180819,38,2610.756027
10.10329,59,2613.81503
9.445438,66,2617.218045
9.334884,47,2619.618827
10.515143,39,2621.669822
8.499365,86,2625.84221
9.324613,75,2629.644383
10.789113,52,2632.086292
10.420811,54,2634.668386
10.24647,65,2637.697895
9.705919,54,2640.558709
10.224777,71,2644.286003
9.563186,66,2647.690731
9.896456,78,2651.6268
10.878265,51,2654.275898
9.666577,91,2659.132656
9.409734,77,2663.087615
10.346767,47,2665.641425
10.729488,71,2669.075915
10.377631,44,2671.390357
8.840896,91,2676.148078
10.233397,55,2678.778441
10.257464,37,2680.688026
9.700859,57,2683.729463
10.677382,66,2687.053956
8.839018,54,2689.900259
5.411952,80,2693.8816
9.98654,82,2698.213923
-10.732144,122,2704.247199
10.328124,66,2707.540745
9.830975,55,2710.460101
9.395129,76,2717.019268
10.627513,40,2719.051164
10.528122,21,2720.181028
