#{"t_start": 1774404192.771334, "env_id": "None"}
r,l,t
-1.97,125,1935.48274
-3.88,208,1941.011868
-3.04,133,1944.640645
-2.61,162,1949.081068
-3.06,183,1956.084725
9.23,60,1957.819445
-3.39,168,1962.467158
-2.52,135,1966.380052
-2.87,170,1971.178249
8.93,63,1972.922576
-4.71,198,1978.654543
-3.81,180,1983.789648
-4.01,185,1989.08447
-4.78,208,1994.611348
-4.31,164,1998.805932
-3.95,179,2003.903326
-2.41,151,2007.957977
8.45,93,2012.589073
-3.29,158,2016.621038
-2.86,115,2019.570095
-2.69,107,2022.550732
7.74,128,2026.094004
-3.59,131,2029.819502
-3.29,140,2033.868467
-2.09,137,2037.486212
-1.92,111,2040.234149
-4.0,199,2045.553624
-4.01,176,2050.469951
-2.7,156,2054.715006
-3.37,175,2059.316614
-2.91,111,2062.215602
-2.28,111,2064.952896
-2.26,136,2070.710474
-2.55,147,2074.295484
-2.3,131,2077.944161
-2.21,122,2081.261354
-3.54,135,2084.48333
-2.29,121,2087.767957
-1.72,109,2090.743915
-2.31,123,2094.035788
-3.86,155,2097.980206
7.64,120,2101.377076
-1.73,128,2104.844734
-3.61,190,2109.95638
-2.66,131,2113.44093
-3.24,198,2118.76313
-7.19,206,2125.562029
6.97,106,2128.148726
-3.24,180,2132.539443
-2.9,128,2135.806732
-4.32,189,2140.820694
-2.65,121,2144.059738
-3.02,140,2147.705595
7.35,167,2152.168768
-2.69,125,2155.597466
-3.47,167,2159.791333
-7.17,207,2165.520558
-2.69,116,2168.37468
7.14,161,2172.743754
-3.02,140,2176.523309
-1.96,106,2181.536889
-3.38,149,2185.408258
-4.41,198,2190.651545
-3.52,199,2196.290768
-4.41,180,2200.870761
-3.01,139,2204.761163
-2.94,114,2207.961693
-4.36,154,2212.308404
-3.29,158,2216.410798
-4.18,175,2221.35922
-3.61,208,2227.480894
-4.91,170,2232.054677
-2.21,113,2235.327804
-4.94,194,2242.876859
-3.46,148,2246.923654
-1.61,107,2249.93571
-3.34,145,2254.195311
-2.28,129,2257.998771
9.12,44,2259.322715
-4.64,182,2264.473626
-3.81,150,2268.63583
-2.04,105,2271.546723
-2.92,139,2275.504328
-2.27,128,2279.249278
-4.67,80,2281.52905
-4.03,196,2287.146015
7.64,84,2289.351393
-2.86,133,2292.944191
-2.17,118,2296.516636
-3.44,146,2302.469095
-2.49,132,2306.345127
-3.52,118,2309.672759
-3.36,174,2314.633875
-3.75,141,2318.947296
-3.26,134,2322.766114
-2.79,126,2326.230234
7.19,84,2328.598423
-3.12,159,2332.979456
-4.3,178,2338.280987
-5.49,189,2343.547588
-3.59,170,2348.255569
-2.84,140,2352.307918
-2.71,136,2356.033706
-4.53,174,2363.065438
-2.38,130,2366.863968
